Sl#,Id,Result,Remarks
1,16701003,3.07,
2,16701006,3.25,
3,16701007,3.33,
4,16701008,2.27,F-611
5,16701009,2.93,
6,16701010,2.83,
7,16701016,3.78,
8,16701019,3.2,
9,16701023,3.27,
10,16701028,3.52,
11,16701030,3.37,
12,16701032,3.67,
13,16701034,3.19,
14,16701036,2.89,
15,16701041,3.38,
16,16701044,3.0,
17,16701046,3.65,
18,16701047,3.14,
19,16701048,2.23,F-611
20,16701049,2.39,F-617
21,16701051,3.82,
22,16701053,3.53,
23,16701060,3.32,
24,16701062,3.28,
25,16701064,3.42,
27,16701070,3.22,
28,16701075,2.75,
29,16701076,3.49,
30,16701078,2.42,
31,15701017,3.03,
32,15701019,2.68,
33,15701030,2.95,
34,15701032,3.34,
35,15701040,3.07,
36,15701044,3.02,
37,15701073,3.07,
38,14701067,2.79,
41,16701052,3.75,
42,16701055,3.44,
43,16701073,3.24,
44,16701045,3.88,
45,15701043,2.65,F-611
46,16701067,3.92,
47,16701072,3.74,
48,16701031,3.24,
49,16701038,3.35,
50,16701043,3.35,
51,16701059,3.29,
52,16701079,3.62,
53,16701002,3.57,
54,16701020,3.68,
55,16701021,3.19,
56,16701057,3.42,
57,16701061,2.9,
39,15701054,2.73,
40,15701041,2.85,F-612
58,15701018,2.85,
39,15701054,3.34,
40,15701041,3.24,
58,15701018,3.19,
